Hybridization REF,BRCA1,BRCA2,TP53,CANCER
TCGA-BH-A0C3-11A-23R-A12P-07,-2.662166667,-2.58125,0.096166667,0
TCGA-A8-A084-01A-21R-A00Z-07,-1.346666667,0.43525,-1.680666667,1
TCGA-BH-A0DV-11A-22R-A12P-07,-2.410333333,-2.1645,0.885833333,0
TCGA-E2-A154-01A-11R-A115-07,-0.7824166667,0.07475,1.2015,1
TCGA-BH-A0HK-11A-11R-A089-07,-2.34625,-1.81,-0.088666667,0
TCGA-B6-A0WW-01A-11R-A109-07,-1.111666667,-1.65475,-0.4028333333,1
TCGA-BH-A0B5-11A-23R-A12P-07,-2.867083333,-3.4205,-0.861166667,0
TCGA-A7-A0CH-11A-32R-A089-07,-2.014666667,-1.56325,-1.242666667,0
TCGA-B6-A0I5-01A-11R-A034-07,-1.134583333,-0.38025,-0.9748333333,1
TCGA-A2-A0YK-01A-22R-A109-07,-2.109166667,-1.0495,-0.1096666667,1
TCGA-BH-A18U-11A-23R-A12D-07,-2.443833333,-2.623,-0.3935,0
TCGA-A7-A13E-11A-61R-A12P-07,-2.816583333,-3.3685,0.0395,0
TCGA-BH-A0B4-01A-11R-A00Z-07,-0.423,-1.732,-0.5598333333,1
TCGA-BH-A0DD-11A-23R-A12P-07,-2.299,-2.1505,-0.946666667,0
TCGA-BH-A18L-11A-42R-A12D-07,-2.418333333,-3.41125,-1.0265,0
TCGA-BH-A0DS-01A-11R-A056-07,-1.56625,-0.20875,-0.2856666667,1
TCGA-BH-A0BA-11A-22R-A089-07,-1.53225,-1.4145,-0.6455,0
TCGA-AO-A12H-01A-11R-A115-07,-2.121416667,-0.91675,-0.433,1
TCGA-AR-A0TU-01A-31R-A109-07,-2.83625,0.78525,0.4523333333,1
TCGA-BH-A0DZ-11A-22R-A089-07,-1.776,-1.2245,0.490333333,0
TCGA-BH-A1ET-11B-23R-A137-07,-2.880916667,-2.9755,-0.625166667,0
TCGA-BH-A18V-11A-52R-A12D-07,-2.429083333,-2.3925,-0.435333333,0
TCGA-BH-A18Q-11A-34R-A12D-07,-2.086083333,-3.15925,-0.281666667,0
TCGA-BH-A0BJ-11A-23R-A089-07,-2.158083333,-2.2335,0.493333333,0
TCGA-BH-A0DZ-11A-22R-A089-07,-1.776,-1.2245,0.490333333,0
TCGA-A2-A0ER-01A-21R-A034-07,-1.546818182,-0.18975,-0.626,1
TCGA-A2-A0CP-01A-11R-A034-07,-2.627636364,-1.65375,-0.6621666667,1
TCGA-AO-A03U-01B-21R-A10J-07,-1.813583333,-1.497,-0.5405,1
TCGA-BH-A18J-11A-31R-A12D-07,-2.219166667,-2.66625,-1.376166667,0
TCGA-C8-A137-01A-11R-A115-07,-1.846583333,0.0635,0.575,1
TCGA-E2-A10C-01A-21R-A10J-07,-0.742,-0.1635,-1.053166667,1
TCGA-BH-A0B3-11B-21R-A089-07,-2.307833333,-1.91125,-0.216166667,0
TCGA-AO-A12D-01A-11R-A115-07,-1.565833333,-1.0695,-1.375666667,1
TCGA-BH-A1EW-11B-33R-A137-07,-1.965666667,-2.4405,-1.487666667,0
TCGA-BH-A0HW-01A-11R-A034-07,-0.47825,-0.293,-1.007166667,1
TCGA-BH-A1EO-11A-31R-A137-07,-1.994416667,-2.82425,-0.866166667,0
TCGA-BH-A0B8-11A-41R-A089-07,-2.463083333,-3.7165,-0.742666667,0
TCGA-AO-A0J9-01A-11R-A034-07,-1.074083333,0.025,-1.598333333,1
TCGA-A7-A13E-11A-61R-A12P-07,-2.816583333,-3.3685,0.0395,0
TCGA-A2-A0T6-01A-11R-A084-07,-2.039916667,-2.32425,-0.4226666667,1
TCGA-E2-A15E-06A-11R-A12D-07,-1.898416667,-2.228,0.1473333333,1
TCGA-BH-A0DP-11A-12R-A089-07,-2.53875,-2.29925,-0.115833333,0
TCGA-AN-A046-01A-21R-A034-07,-1.839083333,-1.1285,-0.07333333333,1
TCGA-BH-A18S-11A-43R-A12D-07,-2.301166667,-2.33475,-1.161166667,0
TCGA-A2-A04V-01A-21R-A034-07,-1.825666667,-0.71625,-0.4085,1
TCGA-E2-A156-01A-11R-A12D-07,-1.38325,-1.24525,0.0625,1
TCGA-BH-A18I-01A-11R-A12D-07,-1.605916667,-0.7305,-0.0475,1
TCGA-E2-A107-01A-11R-A10J-07,0.01691666667,0.031,0.2083333333,1
TCGA-BH-A0AU-11A-11R-A12P-07,-1.997916667,-3.80275,-0.184666667,0
TCGA-C8-A1HL-01A-11R-A137-07,-1.016666667,-0.177,0.1083333333,1
TCGA-BH-A0C0-11A-21R-A089-07,-2.402583333,-2.331,0.135333333,0
TCGA-E2-A158-11A-22R-A12D-07,-2.79625,-2.456,-0.8465,0
TCGA-BH-A0HA-11A-31R-A12P-07,-2.904833333,-3.0185,-0.015333333,0
TCGA-A8-A09W-01A-11R-A00Z-07,-1.137,-3.042,1.012833333,1
TCGA-A2-A04N-01A-11R-A115-07,-1.396583333,-1.0525,-1.034333333,1
TCGA-B6-A0IQ-01A-11R-A034-07,-0.7325,-0.16875,-1.7455,1
TCGA-BH-A1F0-11B-23R-A137-07,-2.4855,-3.664,-0.4075,0
TCGA-E2-A153-01A-12R-A12D-07,-1.690833333,-3.9015,-0.7778333333,1
TCGA-AN-A0FJ-01A-11R-A00Z-07,-0.5483333333,-1.29,-1.862166667,1
TCGA-BH-A0BZ-01A-31R-A12P-07,-1.244916667,-2.23625,-0.3875,1
TCGA-BH-A18R-01A-11R-A12D-07,-1.721416667,0.32175,0.2518333333,1
TCGA-E2-A15K-06A-11R-A12P-07,-0.9181666667,-0.193,0.1033333333,1
TCGA-BH-A18S-11A-43R-A12D-07,-2.301166667,-2.33475,-1.161166667,0
TCGA-BH-A0BJ-11A-23R-A089-07,-2.158083333,-2.2335,0.493333333,0
TCGA-A2-A0YG-01A-21R-A109-07,-0.9885833333,-0.103,-1.798166667,1
TCGA-E2-A14T-01A-11R-A115-07,-1.071666667,0.16325,-0.535,1
TCGA-BH-A0C0-11A-21R-A089-07,-2.402583333,-2.331,0.135333333,0
TCGA-AN-A0FS-01A-11R-A034-07,-1.969583333,-1.9675,-0.768,1
TCGA-A2-A0T7-01A-21R-A084-07,-1.640583333,-1.23575,0.3233333333,1
TCGA-E2-A158-11A-22R-A12D-07,-2.79625,-2.456,-0.8465,0
TCGA-BH-A0B7-01A-12R-A115-07,-2.526333333,-0.78625,-0.5876666667,1
TCGA-AN-A0XV-01A-11R-A109-07,-1.342,-1.1915,-0.3615,1
TCGA-BH-A0HK-11A-11R-A089-07,-2.34625,-1.81,-0.088666667,0
