Hybridization REF,BRCA1,BRCA2,PALB2,CHEK2,CDH1,PTEN,STK11,TP53,ATM,BARD1,BRIP1,CASP8,CTLA4,CYP19A1,FGFR2,LSP1,MAP3K1,MRE11A,NBN,RAD51,TERT,CANCER
TCGA-BH-A18N-11A-43R-A12D-07,-2.244583333,-2.40275,-0.9965,-1.104125,2.382083333,1.659071429,-0.851375,-1.431333333,-1.304166667,-1.347666667,-3.7065,-1.0955,-0.661,-1.38025,1.98025,-0.008375,1.344,-0.352230769,0.756375,-4.0765,-2.123,0
TCGA-AO-A03M-01B-11R-A10J-07,-1.527666667,-0.4615,-0.80225,-0.551625,3.267166667,0.3437142857,0.582,-1.3695,-1.45775,-0.5116666667,-1.793333333,-0.936,0.8525,-1.878625,0.5325625,0.565375,1.7925,-0.4542857143,0.0915,-1.710166667,-1.2785,1
TCGA-BH-A0HK-11A-11R-A089-07,-2.34625,-1.81,-1.331,-0.998625,1.96875,1.032285714,0.09775,-0.088666667,-0.918583333,-1.091333333,-2.987833333,-1.0757,-0.0595,-1.5635,1.856875,0.57825,1.562,-0.044928571,0.273125,-4.259666667,-2.1935,0
TCGA-BH-A0B8-11A-41R-A089-07,-2.463083333,-3.7165,-1.38875,-2.755875,-3.4045,2.021642857,0.451875,-0.742666667,-0.554,-2.156333333,-3.135,-0.6272,0.226,-1.529125,0.6943125,0.394,-0.144,-0.273857143,0.052375,-4.6215,-1.63,0
TCGA-AO-A0JJ-01A-11R-A056-07,-0.975,-1.235,-0.8265,-0.842375,-1.48775,1.722142857,0.394,-0.3288333333,-1.630666667,0.4221666667,-2.4835,-0.8227,0.73,-2.296625,1.522125,1.202125,1.604,-0.007785714286,0.215875,-1.763,-1.873,1
TCGA-E2-A153-11A-31R-A12D-07,-0.627,-2.07,-3.49725,-0.360875,1.0745,1.3655,1.444714286,-0.289333333,-0.887166667,-1.7995,-1.22925,1.6155,0.016,-0.120375,0.5856,2.410857143,-0.049,-0.357923077,-2.45325,-1.925333333,-0.4005,0
TCGA-BH-A0E0-01A-11R-A056-07,-0.9785833333,-2.108,-1.108,-0.143125,2.20675,0.461,0.753875,0.3815,-0.9848333333,-0.6633333333,-1.929166667,-0.7836,0.718,2.094625,0.1449375,0.46825,-0.8665,0.3487142857,0.573875,-1.537666667,-1.9055,1
TCGA-BH-A0DZ-11A-22R-A089-07,-1.776,-1.2245,-0.875,-0.89125,2.354833333,1.283,-0.073625,0.490333333,-0.824166667,-0.816666667,-2.030666667,-1.145,-0.511,-2.524375,1.79975,0.255875,1.9075,-0.242,0.52675,-2.418666667,-1.645,0
TCGA-A8-A06O-01A-11R-A00Z-07,-0.1266666667,-1.104,-0.64175,0.130375,1.760666667,-0.261,0.4945,-0.4921666667,-1.631818182,0.151,-1.655833333,-0.9481,0.299,-1.589375,1.889875,0.809125,0.929,-0.3295,1.727,0.3451666667,-1.573,1
TCGA-BH-A0HK-11A-11R-A089-07,-2.34625,-1.81,-1.331,-0.998625,1.96875,1.032285714,0.09775,-0.088666667,-0.918583333,-1.091333333,-2.987833333,-1.0757,-0.0595,-1.5635,1.856875,0.57825,1.562,-0.044928571,0.273125,-4.259666667,-2.1935,0
TCGA-B6-A0X1-01A-11R-A109-07,-0.3098333333,0.379,-0.5335,0.811875,0.8308333333,-0.8834285714,-0.07175,-1.989833333,-1.407083333,-0.253,-1.617666667,-0.2795,1.2135,-1.178,-0.4025,-0.104875,-0.6495,-0.5307857143,0.345625,-0.9461666667,-1.1825,1
TCGA-E2-A10E-01A-21R-A10J-07,-1.17425,-1.28325,-0.96975,-0.824875,1.877,0.8461428571,0.52375,0.09283333333,-1.61675,-0.9968333333,-2.165333333,-0.7617,0.1285,-2.030125,1.6809375,0.414125,2.4105,-0.381,1.00175,-1.688833333,-2.4525,1
TCGA-B6-A0X0-01A-21R-A115-07,-1.400666667,-1.049,-0.14275,-0.919125,1.13,0.4137857143,0.787625,1.484833333,-0.8448333333,-0.6543333333,-2.844833333,-0.7266,-0.3815,-2.555375,1.11175,-0.199375,1.756,0.1595714286,0.590375,-2.022666667,-0.8805,1
TCGA-BH-A18S-11A-43R-A12D-07,-2.301166667,-2.33475,-1.38875,-1.38,2.374166667,1.286285714,-0.10025,-1.161166667,-1.601333333,-1.190666667,-4.494333333,-1.0578,-0.269,-1.529875,1.2779375,1.17225,0.752,-0.502071429,0.02375,-3.812666667,-1.862,0
TCGA-A2-A0CY-01A-12R-A034-07,-1.94125,-0.9485,-0.638,-0.467625,1.93925,0.641,1.03675,0.2508333333,-1.223833333,-1.392833333,-2.846,-0.6607,-0.9845,-2.598375,-0.21475,-0.013875,-0.564,-0.3512142857,-0.78675,-2.249,-0.229,1
TCGA-BH-A0HK-11A-11R-A089-07,-2.34625,-1.81,-1.331,-0.998625,1.96875,1.032285714,0.09775,-0.088666667,-0.918583333,-1.091333333,-2.987833333,-1.0757,-0.0595,-1.5635,1.856875,0.57825,1.562,-0.044928571,0.273125,-4.259666667,-2.1935,0
TCGA-A7-A0CH-11A-32R-A089-07,-2.014666667,-1.56325,-1.16425,-1.088625,1.438666667,0.876214286,-0.02875,-1.242666667,-1.240333333,-1.022833333,-5.216333333,-1.221,-0.2895,-1.325625,1.2858125,0.588375,1.5305,-0.484357143,0.272,-3.76,-2.95,0
TCGA-B6-A0IG-01A-11R-A034-07,0.5180833333,0.641,-0.18125,-0.688625,2.34775,0.6583571429,0.562375,-0.5126666667,-1.285,0.2076666667,-1.978,-0.4696,0.1895,-1.40125,0.6469375,-0.077375,0.3165,-0.5430714286,0.425125,-0.3663333333,-1.834,1
TCGA-BH-A0B3-11B-21R-A089-07,-2.307833333,-1.91125,-0.92125,-1.34775,2.207916667,0.943285714,-0.13225,-0.216166667,-0.999666667,-1.092666667,-3.228166667,-1.0728,0.0735,-2.1115,1.8999375,0.38475,1.764,-0.172214286,0.2075,-4.185,-2.214,0
TCGA-E2-A15M-11A-22R-A12D-07,-1.795083333,-1.98375,-1.1585,-0.957375,2.28625,2.494785714,-0.504125,-0.050833333,-1.579454545,-1.4295,-2.623,-1.106888889,-0.936,0.60975,0.956533333,1.461125,0.141,-0.131666667,0.813375,-4.1896,-0.3645,0
TCGA-A7-A13F-11A-42R-A12P-07,-2.596333333,-2.8785,-1.06175,-1.359,1.054833333,1.916357143,-0.00025,-0.4115,-1.761083333,-1.992,-4.104333333,-1.2276,-0.0425,-2.820142857,1.7630625,0.9685,0.8385,0.031071429,0.384375,-3.935,-1.6365,0
TCGA-BH-A0BM-11A-12R-A089-07,-1.896166667,-1.93175,-0.50125,-1.375375,2.389166667,1.193857143,-0.198125,-0.159833333,-0.4095,-0.9045,-2.118166667,-0.6855,0.016,-2.168125,2.3975,-0.609125,1.947,-0.218,0.285,-3.500666667,-1.482,0
TCGA-BH-A0W3-01A-11R-A109-07,-0.4813333333,-0.47575,-0.3645,-0.875875,1.592333333,1.391071429,0.26775,-0.5306666667,-1.683083333,-1.1315,-1.3935,-0.8665,0.0295,-2.280625,2.5648125,0.380625,0.973,-0.5402142857,0.393375,-1.537166667,-2.167,1
TCGA-BH-A0BV-11A-31R-A089-07,-2.180666667,-1.72075,-1.07225,-1.15525,2.034666667,1.544357143,0.111,0.145666667,-0.668,-0.917333333,-2.796333333,-0.9293,-0.215,-2.173125,2.0185,0.49525,1.8235,-0.185785714,0.078875,-3.545166667,-2.6335,0
TCGA-BH-A0BQ-11A-33R-A115-07,-1.88375,-1.29425,-0.8985,-1.521625,1.6825,0.9255,-0.007125,0.3355,-1.713181818,-1.0485,-3.1234,-0.9321,-0.642,-2.328625,1.982125,1.077375,1.394,-0.577076923,0.0705,-3.193,-1.269,0
TCGA-AR-A1AV-01A-21R-A12P-07,-1.716833333,-0.92925,-0.248,-0.77225,0.8410833333,1.0995,-0.232125,0.59,-0.3160909091,-0.472,-1.876166667,-0.2787,3.535,-0.9864285714,0.98625,2.229125,0.285,-0.5433076923,1.5845,-1.683833333,-1.7275,1
